"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
4.22134526585829e-12,-0.364874899722531,0.018,0.164,1.03642468967353e-07
4.26058057097866e-12,-0.572054397327783,0.057,0.309,1.04605774178668e-07
4.26651889609546e-12,-1.03768134695774,0.497,0.945,1.04751571936936e-07
4.66334654110071e-12,-0.598840736561602,0.095,0.418,1.14494484277105e-07
4.74444961491801e-12,-0.543160294397824,0.057,0.309,1.16485726945467e-07
4.79413170156595e-12,-0.732011829895865,0.097,0.418,1.17705521536847e-07
4.90163402868766e-12,-0.538018374494198,0.027,0.2,1.20344918672339e-07
5.09625348902683e-12,-0.538957317733917,0.094,0.418,1.25123215662587e-07
5.17714997134322e-12,-0.545127065300799,0.07,0.345,1.27109386096419e-07
5.23797162420615e-12,-0.465181794187585,0.014,0.145,1.28602679317509e-07
5.62315324986204e-12,-0.973539515027949,0.557,1,1.38059658590613e-07
6.37693711614757e-12,-0.779465816907426,0.182,0.618,1.56566560075655e-07
6.53283768027317e-12,-0.458976005787095,0.116,0.473,1.60394230726067e-07
7.36872703608351e-12,-0.574782456383183,0.023,0.182,1.80916986189922e-07
7.78850178896783e-12,-0.465308613639523,0.083,0.382,1.91223295922738e-07
9.05411671185436e-12,-0.584094353582779,0.153,0.564,2.22296673509448e-07
9.08484175812196e-12,-0.71963657079717,0.114,0.455,2.2305103484541e-07
9.92662954238214e-12,-0.421630752573067,0.018,0.164,2.43718608524566e-07
1.03665658729923e-11,-0.479233099990285,0.048,0.273,2.54519925313708e-07
1.0989303777692e-11,-1.07123019176184,0.64,1,2.69809386349894e-07
1.12443701541237e-11,-0.731239153845891,0.086,0.382,2.76071776024045e-07
1.13429228797697e-11,-0.562011147929661,0.032,0.218,2.78491442544105e-07
1.23709298696586e-11,-0.614611779003565,0.06,0.309,3.03731070159859e-07
1.25652210491899e-11,-0.570040473352024,0.066,0.327,3.08501307199711e-07
1.27120436376961e-11,-0.643283155011369,0.043,0.255,3.12106095392715e-07
1.28682982166289e-11,-0.739319800475567,0.153,0.545,3.15942457814672e-07
1.29397718525012e-11,-0.458737162987939,0.027,0.2,3.17697278522608e-07
1.36921720416852e-11,-0.464805795054239,0.098,0.418,3.36170207967456e-07
1.40138554768832e-11,-0.871958450638285,0.376,0.891,3.44068179668435e-07
